# 2026-09-05T13:01:12Z
# gcloud scc manage services list --project=nivadesk-amazon --format=table(name.basename(),intendedEnablementState,effectiveEnablementState)

NAME                            INTENDED_ENABLEMENT_STATE  EFFECTIVE_ENABLEMENT_STATE
SECURITY_HEALTH_ANALYTICS       INHERITED                  DISABLED
VM_THREAT_DETECTION             INHERITED                  ENABLED
WEB_SECURITY_SCANNER            INHERITED                  ENABLED
CONTAINER_THREAT_DETECTION                                 ENABLED
NOTEBOOK_SECURITY_SCANNER       INHERITED                  DISABLED
GCE_VULNERABILITY_ASSESSMENT    INHERITED                  ENABLED
VM_THREAT_DETECTION_AWS         INHERITED                  DISABLED
AGENT_ENGINE_THREAT_DETECTION   INHERITED                  ENABLED
VM_MANAGER                      INHERITED                  DISABLED
AGENT_ENGINE_VULN_ASSESSMENT    INHERITED                  ENABLED
AZURE_VULNERABILITY_ASSESSMENT  INHERITED                  DISABLED
ARTIFACT_ANALYSIS               INHERITED                  ENABLED
ARTIFACT_GUARD                  INHERITED                  DISABLED
EC2_VULNERABILITY_ASSESSMENT    INHERITED                  DISABLED
EVENT_THREAT_DETECTION          ENABLED                    ENABLED
CLOUD_RUN_THREAT_DETECTION      ENABLED                    ENABLED
EXTERNAL_EXPOSURE               ENABLED                    ENABLED
